Venue,Date,Time,Party Size,Status,Source,Guest Name,Visit Count,Lifetime Spend,Tags,Wait Time (min),No Show
"La Mona Rosa",2025-10-01,17:30,3,Completed,Instagram,"Megan Hall",8,2419,"Regular; VIP",0,No
"La Mona Rosa",2025-10-01,23:00,4,Completed,Phone,"Brittany Brown",2,797,"",0,No
"La Mona Rosa",2025-10-01,19:00,3,Completed,Phone,"Stephanie Mitchell",2,473,"",0,No
"Doberman Drawing Room",2025-10-01,22:00,4,Cancelled,Google,"Jessica Baker",3,2546,"VIP",0,No
"Doberman Drawing Room",2025-10-01,17:00,4,Completed,Google,"Travis Turner",5,3170,"VIP",0,No
"Doberman Drawing Room",2025-10-01,21:00,3,Completed,Instagram,"David Perez",2,1346,"Date Night",0,No
"Doberman Drawing Room",2025-10-01,17:00,3,Completed,Google,"Kayla Green",2,763,"Tourist",0,No
"Doberman Drawing Room",2025-10-01,18:30,3,Completed,Google,"Michael Johnson",12,5803,"Regular; VIP",0,No
"Doberman Drawing Room",2025-10-01,21:30,4,Completed,Google,"David Garcia",3,2293,"VIP; Regular",0,No
"We All Scream",2025-10-01,23:30,6,Completed,Google,"Samantha Anderson",2,1160,"",0,No
"We All Scream",2025-10-01,18:30,6,Completed,Phone,"David Hall",2,819,"Date Night",0,No
"We All Scream",2025-10-01,18:00,5,Completed,Concierge,"Derek Phillips",1,503,"First Timer",0,No
"We All Scream",2025-10-01,17:30,5,Completed,Instagram,"Brittany Green",2,1057,"",0,No
"We All Scream",2025-10-01,21:00,4,Cancelled,Phone,"Alexis Green",1,311,"First Timer; Influencer",0,No
"We All Scream",2025-10-01,22:30,4,Completed,Instagram,"David Roberts",1,445,"First Timer",0,No
"We All Scream",2025-10-01,19:30,7,No Show,Instagram,"Lauren Green",8,6425,"Regular; VIP; High Roller",0,Yes
"Discopussy",2025-10-01,21:00,4,Completed,Concierge,"Samantha Green",3,1159,"",0,No
"Discopussy",2025-10-01,23:00,3,Cancelled,Instagram,"Jake Turner",2,562,"",0,No
"Discopussy",2025-10-01,20:30,5,Completed,Phone,"Kevin Martinez",2,705,"",0,No
"Discopussy",2025-10-01,20:00,6,Completed,Walk-in,"Ryan Johnson",1,562,"First Timer",17,No
"Discopussy",2025-10-01,18:00,3,Completed,Walk-in,"Brandon Robinson",1,368,"First Timer; Influencer",24,No
"The Laundry Room",2025-10-02,17:30,2,Completed,SevenRooms,"Sarah Carter",1,372,"First Timer",0,No
"The Laundry Room",2025-10-02,21:00,2,Completed,Concierge,"Nicole Davis",3,867,"",0,No
"The Laundry Room",2025-10-02,23:00,3,Completed,Instagram,"Marcus Thomas",1,542,"First Timer",0,No
"The Laundry Room",2025-10-02,23:30,3,Completed,Walk-in,"Marcus Roberts",12,8209,"Regular; VIP",0,No
"The Laundry Room",2025-10-02,21:00,3,Completed,Instagram,"Carlos Allen",3,2064,"VIP",0,No
"The Laundry Room",2025-10-02,17:30,2,No Show,Google,"Kevin Davis",2,722,"Tourist",0,Yes
"The Laundry Room",2025-10-02,18:00,3,Completed,Google,"Ashley Green",2,959,"",0,No
"The Laundry Room",2025-10-02,21:00,3,Completed,Concierge,"Nicole Brown",3,1457,"",0,No
"Commonwealth",2025-10-02,22:00,3,Completed,SevenRooms,"Chase Turner",2,729,"",0,No
"Commonwealth",2025-10-02,23:00,4,Completed,Google,"Jessica Harris",1,294,"First Timer",0,No
"Commonwealth",2025-10-02,22:30,5,Completed,Walk-in,"Ashley Wilson",3,1500,"",11,No
"Commonwealth",2025-10-02,22:30,4,Completed,Phone,"Jake Allen",5,1591,"",0,No
"Commonwealth",2025-10-02,18:30,5,Completed,Walk-in,"David Hall",3,1445,"",8,No
"Commonwealth",2025-10-02,22:00,4,Completed,Concierge,"Michael Robinson",6,2885,"Regular; VIP",0,No
"Commonwealth",2025-10-02,18:00,4,Completed,Walk-in,"James Young",2,858,"Bachelor/ette",21,No
"Commonwealth",2025-10-02,19:30,5,Completed,SevenRooms,"Vanessa Phillips",3,1425,"",0,No
"Commonwealth",2025-10-02,18:00,3,Completed,Instagram,"Austin Wright",6,2202,"Regular; VIP",0,No
"Commonwealth",2025-10-02,21:00,3,Completed,Google,"Rachel Turner",2,494,"",0,No
"Park On Fremont",2025-10-02,23:00,5,Completed,Instagram,"Megan Rodriguez",5,2794,"VIP",0,No
"Park On Fremont",2025-10-02,17:00,2,Completed,Concierge,"Kayla Carter",2,425,"",0,No
"Park On Fremont",2025-10-02,23:00,4,Completed,Walk-in,"Amanda Mitchell",2,941,"",11,No
"Park On Fremont",2025-10-02,18:30,3,Completed,Walk-in,"Nicole Garcia",2,518,"",20,No
"Park On Fremont",2025-10-02,19:00,3,Completed,Phone,"Robert Rodriguez",6,1913,"Regular",0,No
"Park On Fremont",2025-10-02,19:00,3,Completed,SevenRooms,"Michael Walker",2,666,"",0,No
"Park On Fremont",2025-10-02,21:00,4,Completed,Instagram,"Robert Lewis",3,1185,"First Timer",0,No
"Park On Fremont",2025-10-02,18:00,5,Completed,SevenRooms,"Amanda Rodriguez",2,862,"",0,No
"Park On Fremont",2025-10-02,23:00,4,Completed,SevenRooms,"Sarah Wilson",1,394,"First Timer",0,No
"Park On Fremont",2025-10-02,21:00,4,Completed,Instagram,"Chase Harris",6,1983,"Regular",0,No
"Park On Fremont",2025-10-02,21:00,5,Completed,Phone,"Megan Lee",3,1670,"",0,No
"Park On Fremont",2025-10-02,20:00,2,Completed,SevenRooms,"Stephanie King",2,469,"",0,No
"Park On Fremont",2025-10-02,22:30,3,Completed,Google,"Kevin Anderson",2,628,"",0,No
"Park On Fremont",2025-10-02,22:00,3,No Show,Phone,"Travis Baker",5,1803,"",0,Yes
"Park On Fremont",2025-10-02,20:00,4,No Show,Instagram,"Derek Lee",2,829,"",0,Yes
"Park On Fremont",2025-10-02,21:00,3,Completed,Phone,"Amanda Phillips",12,4118,"Regular; VIP",0,No
"Park On Fremont",2025-10-02,22:00,3,Completed,Instagram,"Maria Rodriguez",7,2318,"Regular; VIP",0,No
"Park On Fremont",2025-10-02,22:00,2,Completed,Phone,"Brittany Mitchell",3,607,"",0,No
"La Mona Rosa",2025-10-02,23:30,3,Completed,Phone,"Lauren Davis",7,1984,"Regular",0,No
"La Mona Rosa",2025-10-02,17:00,5,Completed,Concierge,"Brandon Hill",1,365,"First Timer",0,No
"La Mona Rosa",2025-10-02,19:30,3,Completed,Phone,"Maria Young",9,3325,"Regular; VIP",0,No
"La Mona Rosa",2025-10-02,17:00,4,Completed,Google,"Brittany Hill",1,471,"First Timer",0,No
"La Mona Rosa",2025-10-02,23:30,3,Completed,Phone,"David Hall",10,3110,"Regular; VIP",0,No
"La Mona Rosa",2025-10-02,23:30,4,Completed,Instagram,"Michael Davis",3,866,"",0,No
"La Mona Rosa",2025-10-02,17:00,4,Completed,Phone,"Brandon Turner",10,4041,"Regular; VIP",0,No
"La Mona Rosa",2025-10-02,18:00,3,Cancelled,Phone,"Jessica Rodriguez",5,1479,"",0,No
"La Mona Rosa",2025-10-02,17:30,3,Completed,SevenRooms,"Tyler Robinson",3,1020,"",0,No
"La Mona Rosa",2025-10-02,23:00,2,Completed,Google,"Travis Rodriguez",2,415,"",0,No
"La Mona Rosa",2025-10-02,23:30,3,Completed,Concierge,"Nicole Green",4,806,"",0,No
"La Mona Rosa",2025-10-02,18:00,3,Completed,Instagram,"Jennifer Garcia",3,1079,"",0,No
"La Mona Rosa",2025-10-02,21:30,4,Completed,Concierge,"Sarah Young",2,582,"",0,No
"La Mona Rosa",2025-10-02,17:00,5,Completed,Walk-in,"Chase Johnson",2,951,"",10,No
"La Mona Rosa",2025-10-02,21:00,4,Completed,Concierge,"Lauren King",10,3553,"Regular; VIP",0,No
"Doberman Drawing Room",2025-10-02,18:30,3,Completed,Concierge,"Jordan Young",3,2099,"VIP",0,No
"Doberman Drawing Room",2025-10-02,23:30,3,Completed,Phone,"Ryan Baker",3,1247,"",0,No
"Doberman Drawing Room",2025-10-02,17:30,2,Completed,Phone,"Brandon Martinez",6,2665,"Regular; VIP",0,No
"Doberman Drawing Room",2025-10-02,20:00,3,Completed,Walk-in,"Jordan Davis",2,857,"",6,No
"Doberman Drawing Room",2025-10-02,21:30,3,Completed,SevenRooms,"Derek Anderson",2,1114,"",0,No
"Doberman Drawing Room",2025-10-02,23:00,2,Completed,Walk-in,"Vanessa Wilson",11,4595,"Regular; VIP; Bachelor/ette",4,No
"Doberman Drawing Room",2025-10-02,21:30,2,Completed,Google,"Kayla Lee",2,814,"",0,No
"Doberman Drawing Room",2025-10-02,17:30,3,Completed,Walk-in,"Vanessa Walker",10,5225,"Regular; VIP",7,No
"Doberman Drawing Room",2025-10-02,22:00,3,Cancelled,Walk-in,"Austin Davis",1,418,"First Timer",5,No
"We All Scream",2025-10-02,23:30,3,Completed,Phone,"Kayla Roberts",8,2392,"Regular; VIP; Bachelor/ette",0,No
"We All Scream",2025-10-02,18:30,5,Completed,Google,"Austin Wright",1,470,"First Timer; VIP",0,No
"We All Scream",2025-10-02,21:00,3,Completed,SevenRooms,"Stephanie Nelson",1,276,"First Timer",0,No
"We All Scream",2025-10-02,23:30,4,Completed,Phone,"Rachel King",8,3780,"Regular; VIP",0,No
"We All Scream",2025-10-02,17:30,7,Completed,Concierge,"James Rodriguez",9,4443,"Regular; VIP",0,No
"We All Scream",2025-10-02,22:30,5,Completed,Google,"Derek Walker",2,881,"",0,No
"We All Scream",2025-10-02,22:00,5,Completed,Phone,"Vanessa King",2,1013,"",0,No
"We All Scream",2025-10-02,21:30,7,Completed,Instagram,"Amanda Turner",3,2525,"VIP",0,No
"We All Scream",2025-10-02,22:30,4,Completed,Instagram,"Vanessa Robinson",2,982,"",0,No
"We All Scream",2025-10-02,23:00,4,Completed,Concierge,"Nicole Roberts",2,822,"",0,No
"We All Scream",2025-10-02,23:30,7,Completed,Instagram,"Megan Hall",1,712,"First Timer",0,No
"Discopussy",2025-10-02,20:00,3,Completed,Instagram,"Jennifer Lee",1,263,"First Timer",0,No
"Discopussy",2025-10-02,22:30,3,Completed,Phone,"Brittany Mitchell",1,216,"First Timer",0,No
"Discopussy",2025-10-02,19:30,5,Completed,Walk-in,"Marcus Lee",2,986,"",30,No
"Discopussy",2025-10-02,19:30,5,Completed,Google,"Kayla Martinez",1,396,"First Timer",0,No
"Discopussy",2025-10-02,21:00,6,Completed,SevenRooms,"Travis Mitchell",2,919,"",0,No
"Discopussy",2025-10-02,17:00,6,Completed,Walk-in,"Chase King",1,694,"First Timer",12,No
"Discopussy",2025-10-02,23:00,5,Completed,Phone,"James Perez",4,2347,"VIP",0,No
"Discopussy",2025-10-02,18:00,3,Completed,Google,"David Johnson",2,592,"",0,No
"The Laundry Room",2025-10-03,20:00,3,Completed,Concierge,"Kayla Nelson",8,4513,"Regular; VIP",0,No
"The Laundry Room",2025-10-03,19:00,2,Completed,SevenRooms,"Carlos Carter",1,416,"First Timer",0,No
"The Laundry Room",2025-10-03,18:30,3,No Show,Concierge,"Amanda Allen",2,820,"",0,Yes
"The Laundry Room",2025-10-03,23:30,2,Completed,Concierge,"Jordan Wilson",1,430,"First Timer",0,No
"The Laundry Room",2025-10-03,18:00,2,No Show,Concierge,"Chase Martinez",2,903,"",0,Yes
"The Laundry Room",2025-10-03,22:00,3,Completed,Walk-in,"Kevin Garcia",1,452,"First Timer",0,No
"The Laundry Room",2025-10-03,22:30,2,Completed,Walk-in,"Ryan Young",9,3789,"Regular; VIP",0,No
"The Laundry Room",2025-10-03,23:00,3,Completed,Google,"Jordan Harris",8,4350,"Regular; VIP",0,No
"The Laundry Room",2025-10-03,23:00,3,Completed,Instagram,"Ashley Garcia",1,679,"First Timer",0,No
"The Laundry Room",2025-10-03,23:30,3,Completed,Concierge,"Brittany Wright",7,3818,"Regular; VIP",0,No
"Commonwealth",2025-10-03,18:00,2,Completed,Instagram,"Brandon Perez",3,728,"",0,No
"Commonwealth",2025-10-03,22:00,4,Completed,SevenRooms,"Lauren Walker",1,392,"First Timer",0,No
"Commonwealth",2025-10-03,19:00,5,Cancelled,Phone,"Derek Carter",6,2257,"Regular; VIP",0,No
"Commonwealth",2025-10-03,22:00,3,Cancelled,Google,"Nicole Martinez",2,537,"",0,No
"Commonwealth",2025-10-03,19:00,3,Completed,Google,"Megan Smith",3,671,"",0,No
"Commonwealth",2025-10-03,17:00,5,Completed,Instagram,"Brittany Wright",3,1445,"",0,No
"Commonwealth",2025-10-03,23:00,5,Completed,Google,"Kevin Allen",2,997,"",0,No
"Commonwealth",2025-10-03,23:00,4,No Show,Walk-in,"Nicole Martinez",3,1481,"First Timer",13,Yes
"Commonwealth",2025-10-03,19:30,5,Completed,Phone,"Kevin Rodriguez",2,828,"",0,No
"Commonwealth",2025-10-03,17:00,4,Completed,Google,"Tyler Green",1,346,"First Timer",0,No
"Commonwealth",2025-10-03,17:00,5,Completed,Concierge,"Maria Mitchell",1,361,"First Timer",0,No
"Commonwealth",2025-10-03,22:30,3,Completed,Walk-in,"Travis Clark",3,959,"",16,No
"Commonwealth",2025-10-03,23:30,4,Completed,Concierge,"David Scott",3,1280,"",0,No
"Commonwealth",2025-10-03,21:00,4,Completed,SevenRooms,"Ryan Davis",3,954,"",0,No
"Commonwealth",2025-10-03,21:30,3,Completed,Instagram,"Chase Johnson",1,263,"First Timer",0,No
"Commonwealth",2025-10-03,20:30,4,Completed,Walk-in,"Kevin Brown",1,287,"First Timer; Tourist",15,No
"Commonwealth",2025-10-03,23:30,5,Completed,Google,"Carlos Martinez",8,4223,"Regular; VIP",0,No
"Commonwealth",2025-10-03,22:00,4,Completed,SevenRooms,"Robert Davis",3,834,"",0,No
"Commonwealth",2025-10-03,20:00,4,Completed,Phone,"Stephanie Anderson",1,479,"First Timer",0,No
"Park On Fremont",2025-10-03,20:30,3,Completed,Google,"Jennifer Garcia",1,282,"First Timer",0,No
"Park On Fremont",2025-10-03,22:30,3,Completed,Phone,"Vanessa Anderson",1,328,"First Timer",0,No
"Park On Fremont",2025-10-03,18:30,3,Completed,Walk-in,"Brittany Harris",1,327,"First Timer",26,No
"Park On Fremont",2025-10-03,23:30,3,Completed,Concierge,"Nicole Walker",2,576,"Birthday",0,No
"Park On Fremont",2025-10-03,17:00,3,Completed,SevenRooms,"Sarah Brown",2,721,"",0,No
"Park On Fremont",2025-10-03,18:30,3,Completed,Concierge,"Kayla Johnson",1,320,"First Timer",0,No
"Park On Fremont",2025-10-03,18:30,2,Completed,Walk-in,"Robert Anderson",2,404,"",19,No
"Park On Fremont",2025-10-03,23:00,5,Completed,Instagram,"Maria Walker",10,3498,"Regular; VIP",0,No
"Park On Fremont",2025-10-03,19:30,4,Completed,Concierge,"Lauren Walker",2,892,"",0,No
"Park On Fremont",2025-10-03,23:30,3,Cancelled,Instagram,"Derek Harris",3,729,"Local",0,No
"Park On Fremont",2025-10-03,18:00,3,Completed,Instagram,"Maria Garcia",2,475,"",0,No
"Park On Fremont",2025-10-03,17:00,3,Completed,SevenRooms,"Travis Thomas",4,1229,"",0,No
"Park On Fremont",2025-10-03,17:00,4,Completed,Google,"Sarah Thomas",2,895,"",0,No
"Park On Fremont",2025-10-03,18:30,3,Completed,Instagram,"Samantha Young",9,1862,"Regular; High Roller",0,No
"Park On Fremont",2025-10-03,22:30,2,Completed,Phone,"Sarah Hill",3,542,"",0,No
"Park On Fremont",2025-10-03,23:30,3,Completed,Walk-in,"Carlos Lewis",1,369,"First Timer",21,No
"Park On Fremont",2025-10-03,19:00,3,Completed,Google,"Alexis Harris",1,369,"First Timer",0,No
"Park On Fremont",2025-10-03,20:30,4,Cancelled,Instagram,"Michael Robinson",2,750,"",0,No
"Park On Fremont",2025-10-03,17:00,4,Completed,Instagram,"Derek Robinson",2,652,"",0,No
"Park On Fremont",2025-10-03,18:30,5,Completed,SevenRooms,"Brandon Perez",8,3390,"Regular; VIP",0,No
"Park On Fremont",2025-10-03,23:30,4,Completed,Walk-in,"Jake Martinez",2,835,"",12,No
"Park On Fremont",2025-10-03,23:30,2,Cancelled,Instagram,"David Scott",2,324,"",0,No
"Park On Fremont",2025-10-03,22:30,2,No Show,Instagram,"Samantha Wright",1,166,"First Timer",0,Yes
"Park On Fremont",2025-10-03,23:30,2,Completed,Phone,"Jessica Baker",2,487,"",0,No
"Park On Fremont",2025-10-03,20:00,4,Completed,SevenRooms,"Ashley Davis",2,704,"",0,No
"Park On Fremont",2025-10-03,19:00,4,Completed,Google,"Jake Young",2,836,"",0,No
"Park On Fremont",2025-10-03,21:00,4,Completed,SevenRooms,"Kayla Baker",11,3240,"Regular; VIP",0,No
"Park On Fremont",2025-10-03,17:00,2,Completed,Google,"Jordan Brown",2,407,"",0,No
"Park On Fremont",2025-10-03,21:30,2,Completed,Concierge,"Derek Anderson",7,1250,"Regular",0,No
"Park On Fremont",2025-10-03,23:30,3,Completed,SevenRooms,"Brittany Carter",2,545,"",0,No
"Park On Fremont",2025-10-03,18:00,3,Completed,Phone,"Jessica Walker",1,220,"First Timer",0,No
"Park On Fremont",2025-10-03,19:00,3,Cancelled,Phone,"Alexis Smith",6,2198,"Regular; VIP",0,No
"Park On Fremont",2025-10-03,20:30,3,Completed,Phone,"Jennifer Brown",1,349,"First Timer",0,No
"Park On Fremont",2025-10-03,23:00,3,Completed,Concierge,"Travis Green",6,1736,"Regular",0,No
"Park On Fremont",2025-10-03,17:00,5,Completed,Phone,"Lauren Wilson",2,1118,"",0,No
"Park On Fremont",2025-10-03,18:00,4,Completed,Concierge,"Marcus Allen",1,462,"First Timer; First Timer",0,No
"Park On Fremont",2025-10-03,18:30,2,Completed,Phone,"Robert Carter",2,472,"",0,No
"Park On Fremont",2025-10-03,21:30,4,Completed,Phone,"Marcus Martinez",9,2597,"Regular; VIP",0,No
"La Mona Rosa",2025-10-03,22:30,5,Completed,Concierge,"Alexis Hall",8,2667,"Regular; VIP",0,No
"La Mona Rosa",2025-10-03,20:00,3,Completed,Google,"Samantha Turner",1,202,"First Timer",0,No
"La Mona Rosa",2025-10-03,22:00,3,Completed,Walk-in,"Chase Wright",3,896,"",9,No
"La Mona Rosa",2025-10-03,19:00,3,Completed,Walk-in,"Jessica Perez",1,357,"First Timer; Industry",11,No
"La Mona Rosa",2025-10-03,20:00,3,Completed,Phone,"Rachel Allen",2,591,"",0,No
"La Mona Rosa",2025-10-03,18:30,5,Completed,Google,"Ryan Scott",3,1255,"",0,No
"La Mona Rosa",2025-10-03,22:00,2,Completed,Google,"Amanda Walker",8,1546,"Regular",0,No
"La Mona Rosa",2025-10-03,19:30,4,Completed,Phone,"Ryan Hall",3,1000,"",0,No
"La Mona Rosa",2025-10-03,17:00,3,Completed,SevenRooms,"Brandon Wright",3,690,"",0,No
"La Mona Rosa",2025-10-03,20:30,4,Completed,Phone,"Sarah Green",2,738,"",0,No
"La Mona Rosa",2025-10-03,17:00,5,Completed,Walk-in,"Kayla Rodriguez",2,921,"",27,No
"La Mona Rosa",2025-10-03,21:30,5,Completed,SevenRooms,"Sarah Harris",11,5717,"Regular; VIP",0,No
"La Mona Rosa",2025-10-03,23:00,5,Completed,Phone,"Jennifer Wilson",9,5130,"Regular; VIP",0,No
"La Mona Rosa",2025-10-03,19:30,4,Completed,Phone,"Ryan Rodriguez",5,2232,"VIP",0,No
"La Mona Rosa",2025-10-03,17:00,4,Completed,SevenRooms,"Carlos Scott",2,762,"",0,No
"La Mona Rosa",2025-10-03,20:00,4,Completed,Phone,"Tyler Hall",2,932,"",0,No
"La Mona Rosa",2025-10-03,21:30,4,Completed,Instagram,"Jake Davis",2,857,"VIP",0,No
"La Mona Rosa",2025-10-03,17:30,5,Completed,Google,"David Clark",8,4112,"Regular; VIP",0,No
"La Mona Rosa",2025-10-03,21:30,4,Completed,Google,"Lauren Carter",2,892,"",0,No
"La Mona Rosa",2025-10-03,20:30,5,Completed,Walk-in,"Michael King",2,1109,"",24,No
"La Mona Rosa",2025-10-03,21:30,4,Completed,Instagram,"Carlos Brown",1,367,"First Timer",0,No
"La Mona Rosa",2025-10-03,17:00,2,Completed,SevenRooms,"Michael Martinez",2,437,"",0,No
"La Mona Rosa",2025-10-03,17:30,5,Completed,Google,"Marcus Mitchell",1,524,"First Timer",0,No
"La Mona Rosa",2025-10-03,19:30,4,Completed,Walk-in,"Tyler Baker",9,2526,"Regular; VIP",20,No
"La Mona Rosa",2025-10-03,21:30,5,Cancelled,Walk-in,"Megan Young",1,486,"First Timer",21,No
"La Mona Rosa",2025-10-03,19:00,3,Completed,Google,"David Carter",1,255,"First Timer",0,No
"La Mona Rosa",2025-10-03,22:00,4,No Show,Concierge,"Marcus Johnson",6,2071,"Regular; VIP; High Roller",0,Yes
"La Mona Rosa",2025-10-03,19:00,3,No Show,SevenRooms,"Nicole Scott",1,312,"First Timer",0,Yes
"La Mona Rosa",2025-10-03,18:30,4,No Show,Concierge,"David Anderson",1,375,"First Timer",0,Yes
"La Mona Rosa",2025-10-03,23:30,4,Completed,Concierge,"Alexis King",3,1063,"",0,No
"La Mona Rosa",2025-10-03,21:00,4,Completed,Google,"Jessica Scott",1,483,"First Timer",0,No
"La Mona Rosa",2025-10-03,18:30,4,Completed,Google,"Jordan Wright",2,845,"",0,No
"La Mona Rosa",2025-10-03,22:00,4,No Show,Instagram,"Michael Hall",9,2501,"Regular; VIP; Bachelor/ette",0,Yes
"La Mona Rosa",2025-10-03,19:30,3,Completed,Instagram,"Michael Perez",1,248,"First Timer",0,No
"Doberman Drawing Room",2025-10-03,22:30,2,Completed,Google,"Austin Walker",10,3650,"Regular; VIP",0,No
"Doberman Drawing Room",2025-10-03,19:00,4,Completed,Phone,"Alexis Hall",2,1196,"",0,No
"Doberman Drawing Room",2025-10-03,21:30,3,Completed,Concierge,"Brittany Harris",1,619,"First Timer",0,No
"Doberman Drawing Room",2025-10-03,20:00,4,Completed,Walk-in,"Chase Lewis",3,1572,"",6,No
"Doberman Drawing Room",2025-10-03,20:00,4,Completed,SevenRooms,"Kevin Nelson",2,1123,"",0,No
"Doberman Drawing Room",2025-10-03,19:30,3,Completed,SevenRooms,"Tyler Carter",3,1616,"",0,No
"Doberman Drawing Room",2025-10-03,20:00,3,Completed,Concierge,"Kayla Green",2,957,"",0,No
"Doberman Drawing Room",2025-10-03,18:00,2,Completed,Phone,"Derek Rodriguez",3,1075,"",0,No
"Doberman Drawing Room",2025-10-03,22:00,2,No Show,Concierge,"Jennifer Roberts",11,2796,"Regular; VIP; Corporate",0,Yes
"Doberman Drawing Room",2025-10-03,23:30,2,No Show,Walk-in,"Amanda Lewis",5,1911,"Bachelor/ette",3,Yes
"Doberman Drawing Room",2025-10-03,18:30,2,Completed,Google,"Megan Baker",1,380,"First Timer",0,No
"Doberman Drawing Room",2025-10-03,22:30,4,Completed,SevenRooms,"Chase Lewis",2,1334,"",0,No
"Doberman Drawing Room",2025-10-03,19:30,2,Cancelled,Instagram,"Derek Hall",6,2411,"Regular; VIP",0,No
"Doberman Drawing Room",2025-10-03,23:30,2,Completed,Instagram,"James Clark",1,385,"First Timer",0,No
"We All Scream",2025-10-03,20:30,4,Completed,Phone,"Brandon Allen",12,3843,"Regular; VIP",0,No
"We All Scream",2025-10-03,23:00,5,Completed,SevenRooms,"Ashley Nelson",6,2661,"Regular; VIP",0,No
"We All Scream",2025-10-03,22:00,6,Completed,Phone,"Jessica King",1,686,"First Timer",0,No
"We All Scream",2025-10-03,23:00,5,Completed,Instagram,"Maria Young",2,845,"",0,No
